wind_speed,perciptiation_percentage,temperature_in_F,humidity,timestamp,zipcode,city
1.0,18.0,57.0,4.0,12_20_2023_15_55_09,,
1.0,18.0,57.0,4.0,12_20_2023_15_56_02,,
1.0,18.0,57.0,4.0,12_20_2023_15_56_54,,
1.0,18.0,57.0,4.0,12_20_2023_15_57_46,,
1.0,18.0,57.0,5.0,12_20_2023_16_17_08,,
0.0,18.0,57.0,5.0,12_20_2023_16_32_16,,
0.0,18.0,57.0,5.0,12_20_2023_16_47_23,,
0.0,18.0,57.0,5.0,12_20_2023_17_02_33,,
9.0,18.0,56.0,64.0,12_20_2023_17_17_42,,
9.0,18.0,56.0,64.0,12_20_2023_17_32_50,,
9.0,18.0,56.0,64.0,12_20_2023_17_48_01,,
9.0,18.0,56.0,64.0,12_20_2023_18_03_24,,
6.0,25.0,52.0,71.0,12_20_2023_19_37_30,64101.0,
5.0,25.0,54.0,73.0,12_20_2023_19_42_34,64101.0,
5.0,25.0,54.0,73.0,12_20_2023_19_42_40,64102.0,
5.0,25.0,54.0,73.0,12_20_2023_19_42_46,64105.0,
5.0,25.0,54.0,73.0,12_20_2023_19_42_53,64106.0,
5.0,25.0,54.0,73.0,12_20_2023_19_42_59,64108.0,
5.0,25.0,54.0,73.0,12_20_2023_19_43_05,64109.0,
5.0,25.0,54.0,73.0,12_20_2023_19_43_11,64110.0,
5.0,25.0,54.0,73.0,12_20_2023_19_43_17,64111.0,
5.0,25.0,54.0,73.0,12_20_2023_19_43_24,64112.0,
5.0,25.0,53.0,71.0,12_20_2023_19_57_41,77449.0,
5.0,25.0,53.0,71.0,12_20_2023_19_57_47,11368.0,
5.0,25.0,53.0,71.0,12_20_2023_19_57_53,60629.0,
5.0,25.0,53.0,71.0,12_20_2023_19_58_00,79936.0,
5.0,25.0,53.0,71.0,12_20_2023_19_58_06,90011.0,
5.0,25.0,53.0,71.0,12_20_2023_19_58_13,11385.0,
,,,,12_20_2023_20_35_22,77449.0,Katy
,,,,12_20_2023_20_35_33,11368.0,Corona
,,,,12_20_2023_20_35_44,60629.0,Chicago
,,,,12_20_2023_20_35_54,79936.0,El Paso
,,,,12_20_2023_20_36_07,90011.0,Los Angeles
,,,,12_20_2023_20_36_17,11385.0,Ridgewood
,,,,12_20_2023_20_36_28,90650.0,Norwalk
,,,,12_20_2023_20_36_38,77494.0,Katy
[7],[25],[54],[71],12_20_2023_20_36_45,91331.0,Pacoima
,,,,12_20_2023_20_36_54,77084.0,Houston
,,,,12_20_2023_20_37_04,90201.0,Bell Gardens
,,,,12_20_2023_20_37_15,10467.0,Bronx
,,,,12_20_2023_20_37_25,11226.0,Brooklyn
,,,,12_20_2023_20_37_36,11211.0,Brooklyn
,,,,12_20_2023_20_37_46,11236.0,Brooklyn
,,,,12_20_2023_20_38_18,11220.0,Brooklyn
,,,,12_20_2023_20_38_28,92335.0,Fontana
,,,,12_20_2023_20_42_14,77449.0,Katy
[7],[25],[54],[71],12_20_2023_20_42_17,11368.0,Corona
[7],[25],[54],[71],12_20_2023_20_42_19,60629.0,Chicago
[7],[25],[54],[71],12_20_2023_20_42_20,79936.0,El Paso
[7],[25],[54],[71],12_20_2023_20_42_21,90011.0,Los Angeles
[7],[25],[54],[71],12_20_2023_20_42_22,11385.0,Ridgewood
[7],[25],[54],[71],12_20_2023_20_42_23,90650.0,Norwalk
[7],[25],[54],[71],12_20_2023_20_42_25,77494.0,Katy
[7],[25],[54],[71],12_20_2023_20_42_26,91331.0,Pacoima
[7],[25],[54],[71],12_20_2023_20_42_27,77084.0,Houston
,,,,12_20_2023_21_00_57,77449.0,Katy
,,,,12_20_2023_21_01_12,11368.0,Corona
,,,,12_20_2023_21_02_27,77449.0,Katy
,,,,12_20_2023_21_02_44,11368.0,Corona
,,,,12_20_2023_21_03_00,60629.0,Chicago
,,,,12_20_2023_21_03_16,79936.0,El Paso
,,,,12_20_2023_21_03_31,90011.0,Los Angeles
,,,,12_20_2023_21_03_46,11385.0,Ridgewood
,,,,12_20_2023_21_04_02,90650.0,Norwalk
,,,,12_20_2023_21_04_17,77494,Katy
